Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Hybridization Assay Name	Array Design REF	Protocol REF	Array Data File
Drer_AB_wo_1G_Rep1	P-MTAB-43158	3G 1	P-MTAB-43159	3G 1	Cy5			P-MTAB-43160	Cont3G_1v3G_1_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont3G_1v3G_1_0635.gpr.gz
Drer_AB_wo_3G_Rep1	P-MTAB-43158	Con 3G 1	P-MTAB-43159	Con 3G 1	Cy3			P-MTAB-43160	Cont3G_1v3G_1_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont3G_1v3G_1_0635.gpr.gz
Drer_AB_wo_1G_Rep2	P-MTAB-43158	3G 2	P-MTAB-43159	3G 2	Cy5			P-MTAB-43160	Cont3G_2v3G_2_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont3G_2v3G_2_0635.gpr.gz
Drer_AB_wo_3G_Rep2	P-MTAB-43158	Cont 3G 2	P-MTAB-43159	Cont 3G 2	Cy3			P-MTAB-43160	Cont3G_2v3G_2_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont3G_2v3G_2_0635.gpr.gz
Drer_AB_wo_1G_Rep3	P-MTAB-43158	3G 3	P-MTAB-43159	3G 3	Cy5			P-MTAB-43160	Cont3G_3v3G_3_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont3G_3v3G_3_0635.gpr.gz
Drer_AB_wo_3G_Rep3	P-MTAB-43158	Cont 3G 3	P-MTAB-43159	Cont 3G 3	Cy3			P-MTAB-43160	Cont3G_3v3G_3_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont3G_3v3G_3_0635.gpr.gz
Drer_AB_wo_1G_Rep4	P-MTAB-43158	3G 4	P-MTAB-43159	3G 4	Cy5			P-MTAB-43160	Cont3G_4v3G_4_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont3G_4v3G_4_0635.gpr.gz
Drer_AB_wo_3G_Rep4	P-MTAB-43158	Cont 3G 4	P-MTAB-43159	Cont 3G 4	Cy3			P-MTAB-43160	Cont3G_4v3G_4_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont3G_4v3G_4_0635.gpr.gz
Drer_AB_wo_1G_Rep5	P-MTAB-43158	5G 1	P-MTAB-43159	5G 1	Cy5			P-MTAB-43160	Cont5G_1v5G_1_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont5G_1v5G_1_0635.gpr.gz
Drer_AB_wo_5G_Rep1	P-MTAB-43158	Cont 5G 1	P-MTAB-43159	Cont 5G 1	Cy3			P-MTAB-43160	Cont5G_1v5G_1_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont5G_1v5G_1_0635.gpr.gz
Drer_AB_wo_1G_Rep6	P-MTAB-43158	5G 2	P-MTAB-43159	5G 2	Cy5			P-MTAB-43160	Cont5G_2v5G_2_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont5G_2v5G_2_0635.gpr.gz
Drer_AB_wo_5G_Rep2	P-MTAB-43158	Cont 5G 2	P-MTAB-43159	Cont 5G 2	Cy3			P-MTAB-43160	Cont5G_2v5G_2_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont5G_2v5G_2_0635.gpr.gz
Drer_AB_wo_1G_Rep7	P-MTAB-43158	5G 3	P-MTAB-43159	5G 3	Cy5			P-MTAB-43160	Cont5G_3v5G_3_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont5G_3v5G_3_0635.gpr.gz
Drer_AB_wo_5G_Rep3	P-MTAB-43158	Cont 5G 3	P-MTAB-43159	Cont 5G 3	Cy3			P-MTAB-43160	Cont5G_3v5G_3_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont5G_3v5G_3_0635.gpr.gz
Drer_AB_wo_1G_Rep8	P-MTAB-43158	5G 4	P-MTAB-43159	5G 4	Cy5			P-MTAB-43160	Cont5G_4v5G_4_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont5G_4v5G_4_0635.gpr.gz
Drer_AB_wo_5G_Rep4	P-MTAB-43158	Cont 5G 4	P-MTAB-43159	Cont 5G 4	Cy3			P-MTAB-43160	Cont5G_4v5G_4_0635	AGILENT GPL10816	P-MTAB-43161	GLDS-123_microarray_Cont5G_4v5G_4_0635.gpr.gz
